uname,uid,first_name,last_name,groups,password
ironman,10111,iron,man,legends,test123
warmachine,10112,war,machine,legends,test123
hulk,10113,hulk,hulk,galaxy,test124
blakwidow,10114,black,window,galaxy,test125
thor,10115,thor,thor,galaxy,test126
captamerica,10116,captain,america,gaurdians,test127
soldier,10117,winter,woldier,cosmos,test128
hawkeye,10118,hawkeye,hawkeye,cosmos,test129
falcon,10119,falcon,falcon,cosmos,test130
antman,10120,ant,man,avengers,test131
blackpanther,10121,black,panther,avengers,test132
doctstrange,10122,doctor,strange,avengers,test133
